"ScrapeDatetime","Year","Country","Goods","ExportWeightTon","ExportValueKUSD","ImportWeightTon","ImportValueKUSD","BalanceOfTradeKUSD"
"2024-09-04 12:31:21.457235","2024","Afghanistan","Coffee, tea, mate and spices","                   0.0","                   0","                   0.0","                   8","                  -8"
"2024-09-04 12:31:21.457235","2024","Afghanistan","Cereals","               4,896.0","               1,351","                   0.0","                   0","               1,351"
"2024-09-04 12:31:21.457235","2024","Afghanistan","Sugars and sugar confectionery","                   0.0","                   0","                   0.0","                   0","                  -0"
"2024-09-04 12:31:21.457235","2024","Afghanistan","Preparations of cereals, flour, starch or milk; pastrycooks' products","                  26.7","                 139","                   0.0","                   0","                 139"
"2024-09-04 12:31:21.457235","2024","Afghanistan","Miscellaneous edible preparations","                 752.0","               1,556","                   0.0","                   0","               1,556"
